Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group,Band gap (PBE) [eV],Band gap (G₀W₀) [eV],Band gap (HSE06) [eV] ▲,Direct band gap (PBE) [eV],Direct band gap (G₀W₀) [eV],Direct band gap (HSE06) [eV],CBM wrt. vacuum (PBE) [eV],Fermi level wrt. vacuum (PBE) [eV],VBM (vs. avg. vacuum) (PBE) [eV],VBM wrt. vacuum (PBE) [eV],Energy [eV],"Magnetic anisotropy energy, xz [meV/unit cell]","Magnetic anisotropy energy, yz [meV/unit cell]",Stoichiometry,Vacuum level [eV]
PdNi2Se6,0.006,-0.263,0,p-31m,0.202,,0.546,0.512,,0.957,-4.822,-4.923,,-5.024,-41.578,0.0,0.0,AB2C6,3.534
Bi2SnSe4,0.0,-0.405,0,p-3m1,0.156,,0.55,0.413,,0.789,-5.519,-5.597,,-5.675,-30.169,0.0,0.0,AB2C4,3.491
IrRuBr4S2,0.065,-0.317,1,cm11,0.035,,0.554,0.319,,0.85,-5.236,-5.253,,-5.271,-35.771,1.689,-0.796,ABC2D4,3.429
Nb4Si2S8,0.07,-0.93,0,pbam,0.343,,0.555,0.372,,0.591,-4.684,-4.856,,-5.027,-97.755,0.0,0.0,AB2C4,2.249
Tl2Pd4Te6,0.0,-0.354,0,p-3m1,0.377,,0.567,0.412,,0.567,-4.073,-4.262,,-4.45,-43.757,0.0,0.0,AB2C3,1.882
I2Sc,0.008,-1.138,1,p-6m2,0.106,,0.573,0.747,,1.21,-3.635,-3.688,,-3.741,-11.03,0.51,0.51,AB2,3.716
Pd4In2Te6,0.063,-0.327,0,p-3m1,0.391,,0.58,0.451,,0.58,-4.257,-4.453,,-4.648,-43.961,0.0,0.0,AB2C3,1.827
Te4Fe2,0.092,-0.101,0,p2_1/m11,0.282,,0.581,0.463,,0.751,-4.256,-4.397,,-4.538,-31.512,0.0,0.0,AB2,4.358
Bi2Te2S,0.003,-0.289,0,p-3m1,0.158,,0.584,0.206,,0.702,-5.172,-5.251,,-5.33,-21.279,0.0,0.0,AB2C2,4.741
Te4VGa2,0.03,-0.322,1,p-3m1,0.0,,0.591,0.0,,0.591,,-4.096,,,-29.401,0.224,0.217,AB2C4,3.24
