Formula,Band gap (G₀W₀) (eV),Direct band gap (G₀W₀) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),Energy above hull (eV/atom),Heat of formation (eV/atom),Magnetic,Band gap (PBE) (eV),Band gap (HSE06) (eV),Direct band gap (PBE) (eV),Direct band gap (HSE06) (eV),CBM wrt. vacuum (PBE) (eV),Fermi level wrt. vacuum (PBE) (eV),VBM wrt. vacuum (PBE) (eV),Energy (eV),"Magnetic anisotropy energy, xz (meV/unit cell)","Magnetic anisotropy energy, yz (meV/unit cell)",Vacuum level (eV)
Ag2Br6,,,0.048,0.831,0.131,-0.05800000000000005,1.0000000000000002,0.04600000000000004,0.768,0.04800000000000004,0.831,-6.499,-6.522,-6.545,-15.648,-4.027,-4.019,2.598
Hf3ScBr4N3O,,,2.677,4.148,0.027,-1.953,0.0,2.677,4.148,2.6770000000000005,4.148,-3.92,-5.259,-6.597,-87.138,1.3877787807814457e-17,0.0,4.227
Ga2Se4Mg,,,0.329,1.145,0.0,-0.788,0.0,0.32900000000000007,1.145,0.32899999999999996,1.145,-4.613,-4.777,-4.941,-26.869,1.3877787807814457e-17,0.0,3.006
I2Sc2C,,,0.0,2.191,0.0,-0.931,0.0,0.0,0.7590000000000001,0.0,2.191,-4.494000000000001,-4.512,-4.745666666666667,-26.149,1.3877787807814457e-17,0.0,3.02
BiTeCl,1.676,1.676,0.531,1.151,0.139,-0.468,0.0,0.531,1.151,0.531,1.151,-5.404,-5.669,-5.935,-11.069000000000003,1.3877787807814457e-17,0.0,3.539
Te2I2Sc2,,,0.632,1.751,0.0,-1.261,0.0,0.632,1.751,0.632,1.751,-4.399,-4.715,-5.031,-26.254,1.3877787807814457e-17,0.0,3.76
Tl2Ni4Se6,,,0.54,0.819,0.0,-0.31999999999999995,0.0,0.54,0.8190000000000002,0.54,0.819,-4.008,-4.278,-4.548,-58.719,1.3877787807814457e-17,0.0,1.8
ZrNiBr6,,,1.352,,0.0,-1.047,1.0000000000000002,1.301,3.6363333333333334,1.352,3.6693333333333333,-5.2,-5.85,-6.501,-32.536,-0.0020000000000000018,-0.0050000000000000044,2.872
Ag4Cl4O4H4,,,0.329,0.989,0.099,-0.531,0.0,0.32900000000000007,0.986,0.32899999999999996,0.9889999999999999,-6.088,-6.253,-6.417,-60.786,1.3877787807814457e-17,0.0,1.62
Ga8Se12,,,1.776,2.621,0.0010000000000000009,-0.592,0.0,1.776,2.621,1.776,2.621,-3.674,-4.562,-5.45,-76.86,1.3877787807814457e-17,0.0,1.663
